2021-11-16T18:07:30.741,Cambrian,Info,generation,fitness,rank
2021-11-16T18:07:30.741,Cambrian,Info,1,[-0.042518731508325865, -0.03988244176579233],1
2021-11-16T18:07:30.741,Cambrian,Info,1,[-0.07619280593266256, -0.06935606917632502],2
2021-11-16T18:07:30.741,Cambrian,Info,1,[-0.07892969384550572, -0.06452034978891805],2
2021-11-16T18:07:30.741,Cambrian,Info,1,[-0.05607924029724801, -0.07004652022444956],2
2021-11-16T18:07:30.741,Cambrian,Info,1,[-0.06417655354342167, -0.08629007729853205],3
2021-11-16T18:07:30.772,Cambrian,Info,2,[-0.042518731508325865, -0.03988244176579233],1
2021-11-16T18:07:30.772,Cambrian,Info,2,[-0.04351671188018974, -0.06158826322444065],2
2021-11-16T18:07:30.772,Cambrian,Info,2,[-0.05017273848385989, -0.040922258973073874],2
2021-11-16T18:07:30.772,Cambrian,Info,2,[-0.06215760952680639, -0.05256822240146146],3
2021-11-16T18:07:30.772,Cambrian,Info,2,[-0.04351671188018974, -0.06158826322444065],3
